"지표별(1)",지표별(2),서울 강서구
"지표별(1)",지표별(2),2021
"인구",주민등록인구 (명),574315
"인구",순이동인구 (명),-4099
"인구",전입인구 (명),87269
"인구",전출인구 (명),91368
"인구",사망자수 (명),2884
"인구",인구총조사 인구,559837
"인구",평균연령,43
"인구",출생아수 (명),3006
"인구",인구총조사 인구,559837
"인구",합계출산율,0.617
"인구",등록외국인 현황 (명),5453
"가족",이혼건수 (건),973
"가족",신혼부부수 (쌍),13974
"가족",혼인건수 (건),2669
"가족",조혼인율,4.7
"가족",조이혼율,1.7
"건강",스트레스 인지율 (%),30.4
"건강",주관적 건강수준인지율 (%),55.5
"건강",흡연율 (%),16.0
"건강",음주율 (%),51.7
"건강",연간음주자의 고위험음주율 (%),12.7
"건강",미충족의료율 (%),3.2
"건강",인플루엔자 예방접종률 (%),45.4
"건강",건강생활실천율 (%),47.2
"교육",학급당 학생수 (명),22.07
"교육",초등학교 교원수 (명),1711
"교육",초등학교 학생수 (명),24896
"교육",초등학교수 (개),35
"교육",유치원 교원수 (명),418
"교육",유치원 원아수 (명),4786
"교육",유치원수 (개),52
"주거와 교통",도시지역면적 (m²),41463273
"주거와 교통",주택수 (호),199556
"주거와 교통",토지거래면적 (천㎡),1661
"성장과 안정",종사자수 (명),290473
"성장과 안정",친환경인증 농산물 출하량 (톤),87
"성장과 안정",가구수 (가구),253018
"성장과 안정",서비스업사업체수 (개),42794
"성장과 안정",도소매업종사자수 (명),46136
"성장과 안정",도소매업사업체수 (개),15831
"성장과 안정",운수업종사자수 (명),50603
"성장과 안정",운수업사업체수 (개),9188
"성장과 안정",제조업종사자수 (명),8338
"성장과 안정",제조업사업체수 (개),1965
"성장과 안정",사업체수 (개),58806
"안전",화재발생건수 (건),223
"환경",하수도보급률 (%),100.0
"사회통합",인구십만명당 자살률 (십만명당),26.6
"사회통합",등록장애인수 (명),28546
