"지표별(1)",지표별(2),서울 구로구
"지표별(1)",지표별(2),2021
"인구",주민등록인구 (명),396754
"인구",순이동인구 (명),-6710
"인구",전입인구 (명),48170
"인구",전출인구 (명),54880
"인구",사망자수 (명),2137
"인구",인구총조사 인구,426220
"인구",평균연령,45
"인구",출생아수 (명),2229
"인구",인구총조사 인구,426220
"인구",합계출산율,0.737
"인구",등록외국인 현황 (명),24409
"가족",이혼건수 (건),658
"가족",신혼부부수 (쌍),9914
"가족",혼인건수 (건),1671
"가족",조혼인율,4.2
"가족",조이혼율,1.7
"건강",스트레스 인지율 (%),24.0
"건강",주관적 건강수준인지율 (%),49.4
"건강",흡연율 (%),13.5
"건강",음주율 (%),50.2
"건강",연간음주자의 고위험음주율 (%),11.2
"건강",미충족의료율 (%),3.6
"건강",인플루엔자 예방접종률 (%),40.2
"건강",건강생활실천율 (%),49.4
"교육",학급당 학생수 (명),21.74
"교육",초등학교 교원수 (명),1300
"교육",초등학교 학생수 (명),17290
"교육",초등학교수 (개),26
"교육",유치원 교원수 (명),243
"교육",유치원 원아수 (명),2693
"교육",유치원수 (개),31
"주거와 교통",도시지역면적 (m²),20136328
"주거와 교통",주택수 (호),134367
"주거와 교통",토지거래면적 (천㎡),680
"성장과 안정",종사자수 (명),240689
"성장과 안정",가구수 (가구),184821
"성장과 안정",서비스업사업체수 (개),38413
"성장과 안정",도소매업종사자수 (명),44216
"성장과 안정",도소매업사업체수 (개),17126
"성장과 안정",운수업종사자수 (명),10873
"성장과 안정",운수업사업체수 (개),5498
"성장과 안정",제조업종사자수 (명),17762
"성장과 안정",제조업사업체수 (개),4550
"성장과 안정",사업체수 (개),52791
"안전",화재발생건수 (건),173
"환경",하수도보급률 (%),100.0
"사회통합",인구십만명당 자살률 (십만명당),21.7
"사회통합",등록장애인수 (명),18374
