"지표별(1)",지표별(2),서울 도봉구
"지표별(1)",지표별(2),2021
"인구",주민등록인구 (명),317366
"인구",순이동인구 (명),-5787
"인구",전입인구 (명),36895
"인구",전출인구 (명),42682
"인구",사망자수 (명),2004
"인구",인구총조사 인구,309200
"인구",평균연령,46
"인구",출생아수 (명),1136
"인구",인구총조사 인구,309200
"인구",합계출산율,0.579
"인구",등록외국인 현황 (명),2007
"가족",이혼건수 (건),611
"가족",신혼부부수 (쌍),5424
"가족",혼인건수 (건),963
"가족",조혼인율,3.0
"가족",조이혼율,1.9
"건강",스트레스 인지율 (%),31.8
"건강",주관적 건강수준인지율 (%),46.7
"건강",흡연율 (%),17.5
"건강",음주율 (%),55.8
"건강",연간음주자의 고위험음주율 (%),13.1
"건강",미충족의료율 (%),9.4
"건강",인플루엔자 예방접종률 (%),50.6
"건강",건강생활실천율 (%),38.4
"교육",학급당 학생수 (명),21.27
"교육",초등학교 교원수 (명),979
"교육",초등학교 학생수 (명),13952
"교육",초등학교수 (개),23
"교육",유치원 교원수 (명),215
"교육",유치원 원아수 (명),2115
"교육",유치원수 (개),26
"주거와 교통",도시지역면적 (m²),20839966
"주거와 교통",주택수 (호),107959
"주거와 교통",토지거래면적 (천㎡),520
"성장과 안정",종사자수 (명),79097
"성장과 안정",가구수 (가구),129498
"성장과 안정",서비스업사업체수 (개),16721
"성장과 안정",도소매업종사자수 (명),12589
"성장과 안정",도소매업사업체수 (개),6178
"성장과 안정",운수업종사자수 (명),8752
"성장과 안정",운수업사업체수 (개),5058
"성장과 안정",제조업종사자수 (명),3842
"성장과 안정",제조업사업체수 (개),1350
"성장과 안정",사업체수 (개),25391
"안전",화재발생건수 (건),140
"환경",하수도보급률 (%),100.0
"사회통합",인구십만명당 자살률 (십만명당),23.9
"사회통합",등록장애인수 (명),15300
