"지표별(1)",지표별(2),서울 성북구
"지표별(1)",지표별(2),2021
"인구",주민등록인구 (명),430528
"인구",순이동인구 (명),-3340
"인구",전입인구 (명),59054
"인구",전출인구 (명),62394
"인구",사망자수 (명),2320
"인구",인구총조사 인구,435509
"인구",평균연령,43
"인구",출생아수 (명),1939
"인구",인구총조사 인구,435509
"인구",합계출산율,0.656
"인구",등록외국인 현황 (명),9614
"가족",이혼건수 (건),647
"가족",신혼부부수 (쌍),8498
"가족",혼인건수 (건),1471
"가족",조혼인율,3.4
"가족",조이혼율,1.5
"건강",스트레스 인지율 (%),30.8
"건강",주관적 건강수준인지율 (%),46.3
"건강",흡연율 (%),17.2
"건강",음주율 (%),54.3
"건강",연간음주자의 고위험음주율 (%),11.5
"건강",미충족의료율 (%),5.8
"건강",인플루엔자 예방접종률 (%),43.3
"건강",건강생활실천율 (%),45.7
"교육",학급당 학생수 (명),22.49
"교육",초등학교 교원수 (명),1354
"교육",초등학교 학생수 (명),19628
"교육",초등학교수 (개),29
"교육",유치원 교원수 (명),395
"교육",유치원 원아수 (명),4208
"교육",유치원수 (개),46
"주거와 교통",도시지역면적 (m²),24621422
"주거와 교통",주택수 (호),140138
"주거와 교통",토지거래면적 (천㎡),544
"성장과 안정",종사자수 (명),124004
"성장과 안정",가구수 (가구),187246
"성장과 안정",서비스업사업체수 (개),25033
"성장과 안정",도소매업종사자수 (명),18873
"성장과 안정",도소매업사업체수 (개),9143
"성장과 안정",운수업종사자수 (명),6135
"성장과 안정",운수업사업체수 (개),3691
"성장과 안정",제조업종사자수 (명),8743
"성장과 안정",제조업사업체수 (개),3138
"성장과 안정",사업체수 (개),34712
"안전",화재발생건수 (건),168
"환경",하수도보급률 (%),100.0
"사회통합",인구십만명당 자살률 (십만명당),24.5
"사회통합",등록장애인수 (명),17382
