"지표별(1)",지표별(2),서울 은평구
"지표별(1)",지표별(2),2021
"인구",주민등록인구 (명),473307
"인구",순이동인구 (명),-3682
"인구",전입인구 (명),63269
"인구",전출인구 (명),66951
"인구",사망자수 (명),2735
"인구",인구총조사 인구,457385
"인구",평균연령,45
"인구",출생아수 (명),2076
"인구",인구총조사 인구,457385
"인구",합계출산율,0.604
"인구",등록외국인 현황 (명),3866
"가족",이혼건수 (건),807
"가족",신혼부부수 (쌍),9977
"가족",혼인건수 (건),1590
"가족",조혼인율,3.4
"가족",조이혼율,1.7
"건강",스트레스 인지율 (%),27.1
"건강",주관적 건강수준인지율 (%),60.6
"건강",흡연율 (%),15.9
"건강",음주율 (%),55.4
"건강",연간음주자의 고위험음주율 (%),12.6
"건강",미충족의료율 (%),6.9
"건강",인플루엔자 예방접종률 (%),49.8
"건강",건강생활실천율 (%),39.0
"교육",학급당 학생수 (명),22.35
"교육",초등학교 교원수 (명),1368
"교육",초등학교 학생수 (명),19730
"교육",초등학교수 (개),30
"교육",유치원 교원수 (명),289
"교육",유치원 원아수 (명),3196
"교육",유치원수 (개),39
"주거와 교통",도시지역면적 (m²),29788522
"주거와 교통",주택수 (호),156710
"주거와 교통",토지거래면적 (천㎡),881
"성장과 안정",종사자수 (명),109031
"성장과 안정",친환경인증 농산물 출하량 (톤),0
"성장과 안정",가구수 (가구),195512
"성장과 안정",서비스업사업체수 (개),26734
"성장과 안정",도소매업종사자수 (명),18887
"성장과 안정",도소매업사업체수 (개),9596
"성장과 안정",운수업종사자수 (명),8489
"성장과 안정",운수업사업체수 (개),5095
"성장과 안정",제조업종사자수 (명),3502
"성장과 안정",제조업사업체수 (개),1510
"성장과 안정",사업체수 (개),36509
"안전",화재발생건수 (건),160
"환경",하수도보급률 (%),100.0
"사회통합",인구십만명당 자살률 (십만명당),20.9
"사회통합",등록장애인수 (명),21756
