"지표별(1)",지표별(2),서울 중구
"지표별(1)",지표별(2),2021
"인구",주민등록인구 (명),122499
"인구",순이동인구 (명),-1209
"인구",전입인구 (명),19917
"인구",전출인구 (명),21126
"인구",사망자수 (명),806
"인구",인구총조사 인구,126310
"인구",평균연령,45
"인구",출생아수 (명),627
"인구",인구총조사 인구,126310
"인구",합계출산율,0.634
"인구",등록외국인 현황 (명),9288
"가족",이혼건수 (건),233
"가족",신혼부부수 (쌍),2877
"가족",혼인건수 (건),590
"가족",조혼인율,4.9
"가족",조이혼율,1.9
"건강",스트레스 인지율 (%),26.8
"건강",주관적 건강수준인지율 (%),59.7
"건강",흡연율 (%),17.1
"건강",음주율 (%),52.2
"건강",연간음주자의 고위험음주율 (%),7.5
"건강",미충족의료율 (%),3.2
"건강",인플루엔자 예방접종률 (%),50.9
"건강",건강생활실천율 (%),43.7
"교육",학급당 학생수 (명),20.23
"교육",초등학교 교원수 (명),382
"교육",초등학교 학생수 (명),4808
"교육",초등학교수 (개),12
"교육",유치원 교원수 (명),94
"교육",유치원 원아수 (명),1002
"교육",유치원수 (개),14
"주거와 교통",도시지역면적 (m²),9974292
"주거와 교통",주택수 (호),42319
"주거와 교통",토지거래면적 (천㎡),292
"성장과 안정",종사자수 (명),386564
"성장과 안정",친환경인증 농산물 출하량 (톤),10
"성장과 안정",가구수 (가구),61073
"성장과 안정",서비스업사업체수 (개),52875
"성장과 안정",도소매업종사자수 (명),80600
"성장과 안정",도소매업사업체수 (개),32947
"성장과 안정",운수업종사자수 (명),14337
"성장과 안정",운수업사업체수 (개),2325
"성장과 안정",제조업종사자수 (명),25587
"성장과 안정",제조업사업체수 (개),10469
"성장과 안정",사업체수 (개),70308
"안전",화재발생건수 (건),171
"환경",하수도보급률 (%),100.0
"사회통합",인구십만명당 자살률 (십만명당),21.6
"사회통합",등록장애인수 (명),5634
