"시점","자치구별(1)",자치구별(2),사설학원수 (개소)
"2021","합계",소계,13809
"2021","합계",종로구,217
"2021","합계",중구,91
"2021","합계",용산구,137
"2021","합계",성동구,290
"2021","합계",광진구,426
"2021","합계",동대문구,359
"2021","합계",중랑구,257
"2021","합계",성북구,451
"2021","합계",강북구,210
"2021","합계",도봉구,285
"2021","합계",노원구,684
"2021","합계",은평구,509
"2021","합계",서대문구,342
"2021","합계",마포구,692
"2021","합계",양천구,979
"2021","합계",강서구,697
"2021","합계",구로구,386
"2021","합계",금천구,208
"2021","합계",영등포구,440
"2021","합계",동작구,487
"2021","합계",관악구,434
"2021","합계",서초구,1146
"2021","합계",강남구,2383
"2021","합계",송파구,1045
"2021","합계",강동구,654
