"지표별(1)",지표별(2),서울 강남구
"지표별(1)",지표별(2),2021
"인구",주민등록인구 (명),533042
"인구",순이동인구 (명),-4024
"인구",전입인구 (명),94082
"인구",전출인구 (명),98106
"인구",사망자수 (명),1920
"인구",인구총조사 인구,503019
"인구",평균연령,42
"인구",출생아수 (명),2204
"인구",인구총조사 인구,503019
"인구",합계출산율,0.523
"인구",등록외국인 현황 (명),4758
"가족",이혼건수 (건),737
"가족",신혼부부수 (쌍),8360
"가족",혼인건수 (건),1680
"가족",조혼인율,3.2
"가족",조이혼율,1.4
"건강",스트레스 인지율 (%),31.9
"건강",주관적 건강수준인지율 (%),58.3
"건강",흡연율 (%),12.3
"건강",음주율 (%),56.0
"건강",연간음주자의 고위험음주율 (%),7.7
"건강",미충족의료율 (%),5.2
"건강",인플루엔자 예방접종률 (%),46.7
"건강",건강생활실천율 (%),41.6
"교육",학급당 학생수 (명),25.90
"교육",초등학교 교원수 (명),1624
"교육",초등학교 학생수 (명),25829
"교육",초등학교수 (개),33
"교육",유치원 교원수 (명),299
"교육",유치원 원아수 (명),2938
"교육",유치원수 (개),36
"주거와 교통",도시지역면적 (m²),39497268
"주거와 교통",주택수 (호),175536
"주거와 교통",토지거래면적 (천㎡),1614
"성장과 안정",종사자수 (명),801419
"성장과 안정",친환경인증 농산물 출하량 (톤),31
"성장과 안정",친환경인증 축산물 출하량 (톤),2897
"성장과 안정",가구수 (가구),214939
"성장과 안정",서비스업사업체수 (개),94001
"성장과 안정",도소매업종사자수 (명),157568
"성장과 안정",도소매업사업체수 (개),26299
"성장과 안정",운수업종사자수 (명),12036
"성장과 안정",운수업사업체수 (개),3708
"성장과 안정",제조업종사자수 (명),19410
"성장과 안정",제조업사업체수 (개),3027
"성장과 안정",사업체수 (개),110007
"안전",화재발생건수 (건),391
"환경",하수도보급률 (%),100.0
"사회통합",인구십만명당 자살률 (십만명당),23.2
"사회통합",등록장애인수 (명),15182
