"지표별(1)",지표별(2),서울 동작구
"지표별(1)",지표별(2),2021
"인구",주민등록인구 (명),385483
"인구",순이동인구 (명),-4054
"인구",전입인구 (명),64257
"인구",전출인구 (명),68311
"인구",사망자수 (명),1890
"인구",인구총조사 인구,388094
"인구",평균연령,43
"인구",출생아수 (명),1831
"인구",인구총조사 인구,388094
"인구",합계출산율,0.602
"인구",등록외국인 현황 (명),8881
"가족",이혼건수 (건),493
"가족",신혼부부수 (쌍),7960
"가족",혼인건수 (건),1568
"가족",조혼인율,4.1
"가족",조이혼율,1.3
"건강",스트레스 인지율 (%),26.7
"건강",주관적 건강수준인지율 (%),54.8
"건강",흡연율 (%),13.4
"건강",음주율 (%),50.0
"건강",연간음주자의 고위험음주율 (%),10.2
"건강",미충족의료율 (%),3.3
"건강",인플루엔자 예방접종률 (%),48.8
"건강",건강생활실천율 (%),41.0
"교육",학급당 학생수 (명),22.85
"교육",초등학교 교원수 (명),1053
"교육",초등학교 학생수 (명),15174
"교육",초등학교수 (개),21
"교육",유치원 교원수 (명),239
"교육",유치원 원아수 (명),2661
"교육",유치원수 (개),31
"주거와 교통",도시지역면적 (m²),16387882
"주거와 교통",주택수 (호),119534
"주거와 교통",토지거래면적 (천㎡),561
"성장과 안정",종사자수 (명),109281
"성장과 안정",친환경인증 농산물 출하량 (톤),11
"성장과 안정",가구수 (가구),176665
"성장과 안정",서비스업사업체수 (개),22060
"성장과 안정",도소매업종사자수 (명),15553
"성장과 안정",도소매업사업체수 (개),7490
"성장과 안정",운수업종사자수 (명),3343
"성장과 안정",운수업사업체수 (개),2250
"성장과 안정",제조업종사자수 (명),2088
"성장과 안정",제조업사업체수 (개),931
"성장과 안정",사업체수 (개),27915
"안전",화재발생건수 (건),129
"환경",하수도보급률 (%),100.0
"사회통합",인구십만명당 자살률 (십만명당),19.6
"사회통합",등록장애인수 (명),14417
